AGI_identifier	gene_name	gene_annotation
AT5G51050	AT5G51050	APC2:ATP/phosphate carrier 2
AT5G51060	AT5G51060:RBOHC	ATRBOHC:A. THALIANA RESPIRATORY BURST OXIDASE HOMOLOG C;RBOHC:RESPIRATORY BURST OXIDASE HOMOLOG C;RHD2:ROOT HAIR DEFECTIVE 2
AT5G51070	AT5G51070:CLPD	CLPD;ERD1:EARLY RESPONSIVE TO DEHYDRATION 1;SAG15:SENESCENCE ASSOCIATED GENE 15
AT5G51080	AT5G51080	NA
AT5G51090	AT5G51090	NA
AT5G51100	AT5G51100:FSD2	FSD2:Fe superoxide dismutase 2
AT5G51105	AT5G51105	NA
AT5G51110	AT5G51110	NA
AT5G51120	AT5G51120:PABN1	ATPABN1:POLYADENYLATE-BINDING PROTEIN 1;PABN1:polyadenylate-binding protein 1
AT5G51130	AT5G51130	NA
AT5G51140	AT5G51140	NA
AT5G51150	AT5G51150	NA
AT5G51160	AT5G51160	NA
AT5G51170	AT5G51170	NA
AT5G51180	AT5G51180	NA
AT5G51190	AT5G51190:ERF105	NA
AT5G51195	AT5G51195	NA
AT5G51200	AT5G51200:NUP205	EMB3142:EMBRYO DEFECTIVE 3142
AT5G51210	AT5G51210:OL3	OLEO3:oleosin3
AT5G51220	AT5G51220	NA
AT5G51230	AT5G51230:EMF2	AtEMF2;CYR1;EMF2:EMBRYONIC FLOWER 2;VEF2:CYTOKININ RESISTANT 1
AT5G51250	AT5G51250	NA
AT5G51260	AT5G51260	NA
AT5G51270	AT5G51270:PUB53	NA
AT5G51280	AT5G51280:RH35	NA
AT5G51290	AT5G51290:CERK	ACD5:ACCELERATED CELL DEATH 5
AT5G51300	AT5G51300	NA
AT5G51310	AT5G51310	NA
AT5G51330	AT5G51330:DYAD	DYAD;SWI1:SWITCH1
AT5G51340	AT5G51340	NA
AT5G51350	AT5G51350	MOL1:MORE LATERAL GROWTH1
AT5G51360	AT5G51360	NA
AT5G51370	AT5G51370	NA
AT5G51380	AT5G51380	NA
AT5G51390	AT5G51390	NA
AT5G51400	AT5G51400:GENE1000	NA
AT5G51410	AT5G51410	NA
AT5G51420	AT5G51420	NA
AT5G51430	AT5G51430:EYE	EYE:EMBRYO YELLOW
AT5G51440	AT5G51440:HSP23.5	NA
AT5G51450	AT5G51450:RIN3	RIN3:RPM1 interacting protein 3
AT5G51451	AT5G51451:RGF5	CLEL7:CLE-like7;GLV10:GOLVEN 10;RGF5:root meristem growth factor 5
AT5G51460	AT5G51460:TPPA	ATTPPA;TPPA:trehalose-6-phosphate phosphatase A
AT5G51470	AT5G51470	NA
AT5G51480	AT5G51480:SKS2	SKS2:SKU5  similar 2
AT5G51490	AT5G51490:PME59	NA
AT5G51500	AT5G51500:PME60	NA
AT5G51510	AT5G51510	NA
AT5G51520	AT5G51520	NA
AT5G51530	AT5G51530	NA
AT5G51540	AT5G51540:MIP	NA
AT5G51545	AT5G51545:LPA2	LPA2:low psii accumulation2
AT5G51550	AT5G51550:EXL3	EXL3:EXORDIUM like 3
AT5G51560	AT5G51560	NA
AT5G51570	AT5G51570:HIR4	NA
AT5G51580	AT5G51580	NA
AT5G51590	AT5G51590:AHL4	AHL4:AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 4
AT5G51600	AT5G51600:MAP65-3	ATMAP65-3:ARABIDOPSIS THALIANA MICROTUBULE-ASSOCIATED PROTEIN 65-3;MAP65-3:MICROTUBULE-ASSOCIATED PROTEIN 65-3;PLE:PLEIADE
AT5G51610	AT5G51610	NA
AT5G51620	AT5G51620	NA
AT5G51630	AT5G51630	NA
AT5G51640	AT5G51640:YLS7	TBL17:TRICHOME BIREFRINGENCE-LIKE 17;YLS7:YELLOW-LEAF-SPECIFIC GENE 7
AT5G51650	AT5G51650	NA
AT5G51660	AT5G51660:CPSF160	ATCPSF160;CPSF160:cleavage and polyadenylation specificity factor 160
AT5G51670	AT5G51670	NA
AT5G51680	AT5G51680	NA
AT5G51690	AT5G51690:ACS12	ACS12:1-amino-cyclopropane-1-carboxylate synthase 12
AT5G51700	AT5G51700:RAR1	ATRAR1;PBS2:PPHB SUSCEPTIBLE 2;RAR1:Required for Mla12 resistance 1;RPR2
AT5G51710	AT5G51710:KEA5	ATKEA5:ARABIDOPSIS THALIANA K+ EFFLUX ANTIPORTER 5;KEA5:K+ efflux antiporter 5
AT5G51720	AT5G51720:NEET	At-NEET;NEET:NEET group protein
AT5G51730	AT5G51730	NA
AT5G51740	AT5G51740	NA
AT5G51750	AT5G51750:ATSBT1.3	ATSBT1.3:subtilase 1.3;SBT1.3:subtilase 1.3
AT5G51760	AT5G51760:AHG1	AHG1:ABA-hypersensitive germination 1
AT5G51770	AT5G51770	NA
AT5G51780	AT5G51780:BHLH36	NA
AT5G51790	AT5G51790:BHLH120	NA
AT5G51795	AT5G51795	NA
AT5G51800	AT5G51800	NA
AT5G51810	AT5G51810:GA20OX2	AT2353;ATGA20OX2;GA20OX2:gibberellin 20 oxidase 2
AT5G51812	AT5G51812	NA
AT5G51820	AT5G51820:PGMP	ATPGMP:ARABIDOPSIS THALIANA PHOSPHOGLUCOMUTASE;PGM:phosphoglucomutase;PGM1;STF1:STARCH-FREE 1
AT5G51830	AT5G51830	NA
AT5G51840	AT5G51840	NA
AT5G51845	AT5G51845	NA
AT5G51850	AT5G51850	TRM24:TON1 Recruiting Motif 24
AT5G51860	AT5G51860	AGL72:AGAMOUS-like 72
AT5G51870	AT5G51870:AGL71	AGL71:AGAMOUS-like 71
AT5G51880	AT5G51880	NA
AT5G51890	AT5G51890:PER66	NA
AT5G51900	AT5G51900	NA
AT5G51910	AT5G51910:TCP19	NA
AT5G51920	AT5G51920	NA
AT5G51930	AT5G51930	NA
AT5G51940	AT5G51940:NRPB6A	NRPB6A;NRPD6A;NRPE6A
AT5G51950	AT5G51950	NA
AT5G51960	AT5G51960	NA
AT5G51970	AT5G51970:SDH	NA
AT5G51980	AT5G51980:ZFWD2	NA
AT5G51990	AT5G51990:DREB1D	CBF4:C-repeat-binding factor 4;DREB1D:DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1D
AT5G52000	AT5G52000:IMPA8	IMPA-8:importin alpha isoform 8
AT5G52010	AT5G52010	NA
AT5G52020	AT5G52020:ERF025	NA
AT5G52030	AT5G52030	NA
AT5G52040	AT5G52040:RS41	At-RS41:arginine/serine-rich splicing factor 41;ATRSP41;RS41:arginine/serine-rich splicing factor 41
AT5G52050	AT5G52050	NA
AT5G52060	AT5G52060:BAG1	ATBAG1:BCL-2-associated athanogene 1;BAG1:BCL-2-associated athanogene 1
AT5G52070	AT5G52070	NA
AT5G52080	AT5G52080	NA
AT5G52090	AT5G52090	NA
AT5G52100	AT5G52100:DAPB3	CRR1:chlororespiration reduction 1
AT5G52110	AT5G52110:HCF208	CCB2:COFACTOR ASSEMBLY OF COMPLEX C;HCF208:HIGH CHLOROPHYLL FLUORESCENCE 208
AT5G52120	AT5G52120:PP2A14	AtPP2-A14:phloem protein 2-A14;PP2-A14:phloem protein 2-A14
AT5G52130	AT5G52130	NA
AT5G52140	AT5G52140	NA
AT5G52150	AT5G52150	NA
AT5G52160	AT5G52160	NA
AT5G52170	AT5G52170:HDG7	HDG7:homeodomain GLABROUS 7
AT5G52180	AT5G52180	NA
AT5G52190	AT5G52190	NA
AT5G52200	AT5G52200	AtI-2;I-2:inhibitor-2
AT5G52210	AT5G52210:ATARLB1	ATARLB1;ATGB1:GTP-binding protein 1;GB1:GTP-binding protein 1
AT5G52220	AT5G52220	NA
AT5G52230	AT5G52230:MBD13	MBD13:methyl-CPG-binding domain protein 13
AT5G52240	AT5G52240:MSBP1	AtMAPR5:ARABIDOPSIS THALIANA MEMBRANE-ASSOCIATED PROGESTERONE BINDING PROTEIN 5;ATMP1;MSBP1:membrane steroid binding protein 1
AT5G52250	AT5G52250:RUP1	EFO1:EARLY FLOWERING BY OVEREXPRESSION 1;RUP1:REPRESSOR OF UV-B PHOTOMORPHOGENESIS 1
AT5G52260	AT5G52260:AtMYB19	AtMYB19:myb domain protein 19;MYB19:myb domain protein 19
AT5G52270	AT5G52270	NA
AT5G52280	AT5G52280	NA
AT5G52290	AT5G52290:SHOC1	SHOC1:SHORTAGE IN CHIASMATA 1
AT5G52300	AT5G52300:LTI65	LTI65:LOW-TEMPERATURE-INDUCED 65;RD29B:RESPONSIVE TO DESSICATION 29B
AT5G52310	AT5G52310:LTI78	COR78:COLD REGULATED 78;LTI140;LTI78:LOW-TEMPERATURE-INDUCED 78;RD29A:RESPONSIVE TO DESSICATION 29A
AT5G52320	AT5G52320:CYP96A4	"CYP96A4:""cytochrome P450, family 96, subfamily A, polypeptide 4"""
AT5G52330	AT5G52330	NA
AT5G52340	AT5G52340:ATEXO70A2	ATEXO70A2:exocyst subunit exo70 family protein A2;EXO70A2:exocyst subunit exo70 family protein A2
AT5G52350	AT5G52350:ATEXO70A3	ATEXO70A3:exocyst subunit exo70 family protein A3;EXO70A3:exocyst subunit exo70 family protein A3
AT5G52360	AT5G52360:ADF12	ADF10:actin depolymerizing factor 10
AT5G52370	AT5G52370	NA
AT5G52380	AT5G52380	NA
AT5G52390	AT5G52390	NA
AT5G52400	AT5G52400:CYP715A1	"CYP715A1:""cytochrome P450, family 715, subfamily A, polypeptide 1"""
AT5G52410	AT5G52410	NA
AT5G52420	AT5G52420	NA
AT5G52430	AT5G52430	NA
AT5G52440	AT5G52440:TATB	HCF106:HIGH CHLOROPHYLL FLUORESCENCE 106
AT5G52450	AT5G52450	NA
AT5G52460	AT5G52460:EDA41	EDA41:embryo sac development arrest 41
AT5G52470	AT5G52470:MED36B	ATFBR1;ATFIB1;FBR1:FIBRILLARIN 1;FIB1:fibrillarin 1;SKIP7:SKP1/ASK1-INTERACTING PROTEIN
AT5G52480	AT5G52480	NA
AT5G52490	AT5G52490:FIB3	NA
AT5G52500	AT5G52500	NA
AT5G52510	AT5G52510:SCL8	SCL8:SCARECROW-like 8
AT5G52520	AT5G52520:OVA6	OVA6:OVULE ABORTION 6;PRORS1:PROLYL-TRNA SYNTHETASE 1
AT5G52530	AT5G52530	NA
AT5G52540	AT5G52540	NA
AT5G52545	AT5G52545	NA
AT5G52547	AT5G52547	NA
AT5G52552	AT5G52552:CPuORF14	CPuORF14:conserved peptide upstream open reading frame 14
AT5G52550	AT5G52550	NA
AT5G52560	AT5G52560:USP	ATUSP:UDP-sugar pyrophosphorylase;USP:UDP-sugar pyrophosphorylase
AT5G52580	AT5G52580	NA
AT5G52600	AT5G52600:MYB82	AtMYB82:myb domain protein 82;MYB82:myb domain protein 82
AT5G52605	AT5G52605	NA
AT5G52610	AT5G52610	NA
AT5G52620	AT5G52620	NA
AT5G52630	AT5G52630:PCMP-H52	MEF1:mitochondrial RNA editing factor 1
AT5G52640	AT5G52640:HSP81-1	ATHS83;AtHsp90-1:HEAT SHOCK PROTEIN 90-1;ATHSP90.1:heat shock protein 90.1;HSP81-1:HEAT SHOCK PROTEIN 81-1;HSP81.1;HSP83:HEAT SHOCK PROTEIN 83;HSP90.1:heat shock protein 90.1
AT5G52650	AT5G52650:RPS10C	NA
AT5G52660	AT5G52660:RVE6	NA
AT5G52670	AT5G52670	NA
AT5G52680	AT5G52680	NA
AT5G52690	AT5G52690	NA
AT5G52700	AT5G52700	NA
AT5G52710	AT5G52710	NA
AT5G52720	AT5G52720	NA
AT5G52730	AT5G52730	NA
AT5G52740	AT5G52740	NA
AT5G52750	AT5G52750	NA
AT5G52760	AT5G52760	NA
AT5G52770	AT5G52770	NA
AT5G52780	AT5G52780	NA
AT5G52790	AT5G52790:CBSDUF5	NA
AT5G52800	AT5G52800	NA
AT5G52810	AT5G52810	NA
AT5G52820	AT5G52820:NLE1	AtNLE;NLE:NOTCHLESS
AT5G52830	AT5G52830:WRKY27	ATWRKY27:ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 27;WRKY27:WRKY DNA-binding protein 27
AT5G52840	AT5G52840	NA
AT5G52850	AT5G52850:PCMP-H31	NA
AT5G52860	AT5G52860:ABCG8	ABCG8:ATP-binding cassette G8
AT5G52870	AT5G52870:MAKR5	MAKR5:MEMBRANE-ASSOCIATED KINASE REGULATOR 5
AT5G52880	AT5G52880	NA
AT5G52882	AT5G52882	NA
AT5G52890	AT5G52890	NA
AT5G52900	AT5G52900:MAKR6	MAKR6:MEMBRANE-ASSOCIATED KINASE REGULATOR 6
AT5G52901	AT5G52901	NA
AT5G52910	AT5G52910:ATIM	ATIM:TIMELESS
AT5G52920	AT5G52920:PKP2	PKP-BETA1:plastidic pyruvate kinase beta subunit 1;PKP1:PLASTIDIAL PYRUVATE KINASE 1;PKP2:PLASTIDIAL PYRUVATE KINASE 2
AT5G52930	AT5G52930	NA
AT5G52940	AT5G52940	NA
AT5G52950	AT5G52950	NA
AT5G52960	AT5G52960	NA
AT5G52965	AT5G52965	NA
AT5G52970	AT5G52970	NA
AT5G52975	AT5G52975	NA
AT5G52980	AT5G52980	NA
AT5G52990	AT5G52990	NA
AT5G53000	AT5G53000:TAP46	TAP46:2A phosphatase associated protein of 46 kD
AT5G53010	AT5G53010	NA
AT5G53020	AT5G53020	NA
AT5G53030	AT5G53030	NA
AT5G53040	AT5G53040:RKD4	GRD:GROUNDED;RKD4:RWP-RK domain-containing 4
AT5G53045	AT5G53045	NA
AT5G53050	AT5G53050	NA
AT5G53060	AT5G53060	RCF3:regulator of CBF gene expression 3;SHI1:SHINY 1
AT5G53070	AT5G53070	NA
AT5G53080	AT5G53080	NA
AT5G53090	AT5G53090	NA
AT5G53100	AT5G53100	NA
AT5G53110	AT5G53110	NA
AT5G53120	AT5G53120:SPMS	ATSPDS3:SPERMIDINE SYNTHASE 3;SPDS3:spermidine synthase 3;SPMS
AT5G53130	AT5G53130:CNGC1	ATCNGC1:CYCLIC NUCLEOTIDE-GATED CHANNEL 1;CNGC1:cyclic nucleotide gated channel 1
AT5G53140	AT5G53140	NA
AT5G53144	AT5G53144	NA
AT5G53150	AT5G53150	NA
AT5G53160	AT5G53160:PYL8	PYL8:PYR1-like 8;RCAR3:regulatory components of ABA receptor 3
AT5G53170	AT5G53170:FTSH11	FTSH11:FTSH protease 11
AT5G53180	AT5G53180:ATPTB2	ATPTB2:POLYPYRIMIDINE TRACT-BINDING PROTEIN 2;PTB2:polypyrimidine tract-binding protein 2
AT5G53190	AT5G53190:SWEET3	AtSWEET3;SWEET3
AT5G53200	AT5G53200:TRY	TRY:TRIPTYCHON
AT5G53205	AT5G53205	NA
AT5G53210	AT5G53210:SPCH	SPCH:SPEECHLESS
AT5G53220	AT5G53220	NA
AT5G53230	AT5G53230	NA
AT5G53240	AT5G53240	NA
AT5G53250	AT5G53250:AGP22	AGP22:arabinogalactan protein 22;ATAGP22:ARABINOGALACTAN PROTEIN 22
AT5G53260	AT5G53260	NA
AT5G53270	AT5G53270	NA
AT5G53280	AT5G53280:PDV1	PDV1:PLASTID DIVISION1
AT5G53290	AT5G53290:CRF3	CRF3:cytokinin response factor 3
AT5G53300	AT5G53300:UBC10	UBC10:ubiquitin-conjugating enzyme 10
AT5G53310	AT5G53310	NA
AT5G53320	AT5G53320	NA
AT5G53330	AT5G53330	NA
AT5G53340	AT5G53340:B3GALT11	NA
AT5G53350	AT5G53350:CLPX	CLPX:CLP protease regulatory subunit X
AT5G53360	AT5G53360	NA
AT5G53370	AT5G53370:PME61	ATPMEPCRF:PECTIN METHYLESTERASE PCR FRAGMENT F;PMEPCRF:pectin methylesterase PCR fragment F
AT5G53380	AT5G53380	NA
AT5G53390	AT5G53390	FOP1:FOLDED PETAL 1;WSD11:NTHASE/DIACYLGLYCEROL ACYLTRANSFERASE 11
AT5G53400	AT5G53400:BOB1	BOB1:BOBBER1
AT5G53410	AT5G53410	NA
AT5G53420	AT5G53420	NA
AT5G53430	AT5G53430:ATX5	ATX5;SDG29:SET domain group 29;SET29
AT5G53440	AT5G53440	NA
AT5G53450	AT5G53450:PAP14	ORG1:OBP3-responsive gene 1
AT5G53451	AT5G53451	NA
AT5G53460	AT5G53460:GLT1	GLT1:NADH-dependent glutamate synthase 1
AT5G53470	AT5G53470:ACBP1	ACBP:ACYL-COA BINDING PROTEIN;ACBP1:acyl-CoA binding protein 1;AtACBP1
AT5G53480	AT5G53480:KPNB1	AtKPNB1;KPNB1:homolog of human KPNB1
AT5G53486	AT5G53486	NA
AT5G53490	AT5G53490	NA
AT5G53500	AT5G53500	NA
AT5G53510	AT5G53510:OPT9	ATOPT9:oligopeptide transporter 9;OPT9:oligopeptide transporter 9
AT5G53520	AT5G53520:OPT8	ATOPT8:oligopeptide transporter 8;OPT8:oligopeptide transporter 8
AT5G53530	AT5G53530:VPS26A	VPS26A:vacuolar protein sorting 26A
AT5G53540	AT5G53540	NA
AT5G53550	AT5G53550:YSL3	ATYSL3:YELLOW STRIPE LIKE 3;YSL3:YELLOW STRIPE like 3
AT5G53560	AT5G53560:CYTB5-E	ATB5-A;ATCB5-E:ARABIDOPSIS CYTOCHROME B5 ISOFORM E;B5 #2;CB5-E:cytochrome B5 isoform E
AT5G53570	AT5G53570	NA
AT5G53580	AT5G53580:PLR1	AtPLR1;PLR1:pyridoxal reductase 1
AT5G53590	AT5G53590	NA
AT5G53588	AT5G53588:CPuORF50	CPuORF50:conserved peptide upstream open reading frame 50
AT5G53592	AT5G53592	NA
AT5G53600	AT5G53600	NA
AT5G53610	AT5G53610	NA
AT5G53620	AT5G53620	NA
AT5G53635	AT5G53635	NA
AT5G53640	AT5G53640	NA
AT5G53650	AT5G53650	NA
AT5G53660	AT5G53660:GRF7	AtGRF7:growth-regulating factor 7;GRF7:growth-regulating factor 7
AT5G53670	AT5G53670	NA
AT5G53680	AT5G53680	NA
AT5G53690	AT5G53690	NA
AT5G53700	AT5G53700	NA
AT5G53710	AT5G53710	NA
AT5G53720	AT5G53720	NA
AT5G53730	AT5G53730	NHL26:NDR1/HIN1-like 26
AT5G53740	AT5G53740	NA
AT5G53742	AT5G53742	NA
AT5G53750	AT5G53750	NA
AT5G53760	AT5G53760:MLO11	ATMLO11:MILDEW RESISTANCE LOCUS O 11;MLO11:MILDEW RESISTANCE LOCUS O 11
AT5G53770	AT5G53770	NA
AT5G53780	AT5G53780	NA
AT5G53790	AT5G53790	NA
AT5G53800	AT5G53800	NA
AT5G53810	AT5G53810	NA
AT5G53820	AT5G53820	NA
AT5G53830	AT5G53830:VQ33	NA
AT5G53840	AT5G53840	NA
AT5G53850	AT5G53850	DEP1:DEHYDRATASE-ENOLASE-PHOSPHATASE-COMPLEX 1
AT5G53860	AT5G53860:emb2737	emb2737:embryo defective 2737;EMB64:EMBRYO DEFECTIVE 64
AT5G53870	AT5G53870:ENODL1	AtENODL1;ENODL1:early nodulin-like protein 1
AT5G53880	AT5G53880	NA
AT5G53890	AT5G53890:PSKR2	AtPSKR2;PSKR2:phytosylfokine-alpha receptor 2
AT5G53895	AT5G53895	NA
AT5G53900	AT5G53900	NA
AT5G53905	AT5G53905	NA
AT5G53910	AT5G53910	NA
AT5G53920	AT5G53920	NA
AT5G53930	AT5G53930	NA
AT5G53940	AT5G53940	NA
AT5G53950	AT5G53950:NAC098	ANAC098:Arabidopsis NAC domain containing protein 98;ATCUC2:CUP-SHAPED COTYLEDON 2;CUC2:CUP-SHAPED COTYLEDON 2
AT5G53960	AT5G53960	NA
AT5G53970	AT5G53970	TAT7:tyrosine aminotransferase 7
AT5G53980	AT5G53980:ATHB-52	ATHB52:homeobox protein 52;HB52:homeobox protein 52
AT5G53990	AT5G53990:UGT79B9	NA
AT5G54000	AT5G54000	NA
AT5G54010	AT5G54010:UGT79B6	NA
AT5G54020	AT5G54020	NA
AT5G54030	AT5G54030	NA
AT5G54040	AT5G54040	NA
AT5G54050	AT5G54050	NA
AT5G54060	AT5G54060:A3G2XYLT	UF3GT:UDP-glucose:flavonoid 3-o-glucosyltransferase;UGT79B1:UDP-glucosyl transferase 79B1
AT5G54062	AT5G54062	NA
AT5G54067	AT5G54067	NA
AT5G54070	AT5G54070:HSFA9	AT-HSFA9:ARABIDOPSIS THALIANA HEAT SHOCK TRANSCRIPTION FACTOR  A9;HSFA9:heat shock transcription factor  A9
AT5G54080	AT5G54080:HGO	AtHGO;HGO:homogentisate 1,2-dioxygenase
AT5G54090	AT5G54090	NA
AT5G54095	AT5G54095	NA
AT5G54100	AT5G54100	NA
AT5G54110	AT5G54110:PVA41	ATMAMI:membrane-associated mannitol-induced;MAMI:membrane-associated mannitol-induced
AT5G54130	AT5G54130	NA
AT5G54140	AT5G54140:ILL3	ILL3:IAA-leucine-resistant (ILR1)-like 3
AT5G54145	AT5G54145	NA
AT5G54148	AT5G54148	NA
AT5G54150	AT5G54150	NA
AT5G54160	AT5G54160:OMT1	ATOMT1:O-methyltransferase 1;COMT1:caffeate O-methyltransferase 1;OMT1:O-methyltransferase 1
AT5G54165	AT5G54165	NA
AT5G54170	AT5G54170	NA
AT5G54180	AT5G54180:PTAC15	PTAC15:plastid transcriptionally active 15
AT5G54190	AT5G54190:PORA	PORA:protochlorophyllide oxidoreductase A
AT5G54200	AT5G54200	NA
AT5G54210	AT5G54210	NA
AT5G54215	AT5G54215	NA
AT5G54220	AT5G54220	NA
AT5G54225	AT5G54225:LCR83	LCR83:low-molecular-weight cysteine-rich 83
AT5G54230	AT5G54230:MYB49	AtMYB49:myb domain protein 49;MYB49:myb domain protein 49
AT5G54240	AT5G54240	NA
AT5G54250	AT5G54250:CNGC4	ATCNGC4:cyclic nucleotide-gated cation channel 4;CNGC4:cyclic nucleotide-gated cation channel 4;DND2:DEFENSE, NO DEATH 2;HLM1
AT5G54260	AT5G54260:MRE11	ATMRE11:ARABIDOPSIS MEIOTIC RECOMBINATION 11;MRE11:MEIOTIC RECOMBINATION 11
AT5G54270	AT5G54270:LHCB3	LHCB3:light-harvesting chlorophyll B-binding protein 3;LHCB3*1
AT5G54280	AT5G54280:VIII-2	ATM2:myosin 2;ATM4:ARABIDOPSIS THALIANA MYOSIN 4;ATMYOS1:ARABIDOPSIS THALIANA MYOSIN 1
AT5G54290	AT5G54290:CCDA	CcdA
AT5G54300	AT5G54300	NA
AT5G54310	AT5G54310:AGD5	AGD5:ARF-GAP domain 5;NEV:NEVERSHED
AT5G54320	AT5G54320	NA
AT5G54330	AT5G54330	NA
AT5G54340	AT5G54340	NA
AT5G54350	AT5G54350	NA
AT5G54360	AT5G54360	NA
AT5G54370	AT5G54370	NA
AT5G54380	AT5G54380:THE1	THE1:THESEUS1
AT5G54390	AT5G54390:AHL	AHL:HAL2-like;ATAHL;HL:HAL2-like
AT5G54400	AT5G54400	NA
AT5G54410	AT5G54410	NA
AT5G54420	AT5G54420	NA
AT5G54430	AT5G54430:ATPHOS32	ATPHOS32;PHOS32
AT5G54440	AT5G54440:TRS130	AtTRS130;CLUB:CLUB
AT5G54450	AT5G54450	NA
AT5G54460	AT5G54460	NA
AT5G54470	AT5G54470	BBX29:B-box domain protein 29
AT5G54480	AT5G54480	NA
AT5G54490	AT5G54490:PBP1	PBP1:pinoid-binding protein 1
AT5G54500	AT5G54500:FQR1	FQR1:flavodoxin-like quinone reductase 1
AT5G54510	AT5G54510:GH3.6	DFL1:DWARF IN LIGHT 1;GH3.6:Gretchen Hagen3.6
AT5G54520	AT5G54520	NA
AT5G54530	AT5G54530	NA
AT5G54531	AT5G54531	NA
AT5G54540	AT5G54540	NA
AT5G54550	AT5G54550	NA
AT5G54560	AT5G54560	NA
AT5G54570	AT5G54570:BGLU41	BGLU41:beta glucosidase 41
AT5G54580	AT5G54580	NA
AT5G54585	AT5G54585	NA
AT5G54590	AT5G54590:CRLK1	CRLK1:calcium/calmodulin-regulated receptor-like kinase 1
AT5G54600	AT5G54600:RPL24	RPL24:plastid ribosomal protein L24;SVR8:SUPPRESSOR OF VARIEGATION 8
AT5G54610	AT5G54610:ANK	ANK:ankyrin;BDA1:bian da 2 (becoming big in Chinese)
AT5G54620	AT5G54620	NA
AT5G54630	AT5G54630	NA
AT5G54640	AT5G54640:RAT5	ATHTA1;HTA1:histone H2A 1;RAT5:RESISTANT TO AGROBACTERIUM TRANSFORMATION 5
AT5G54650	AT5G54650:FH5	ATFH5:FORMIN HOMOLOGY 5;Fh5:formin homology5
AT5G54660	AT5G54660:HSP21.7	NA
AT5G54670	AT5G54670:ATK3	ATK3:kinesin 3;KATC:KINESIN-LIKE PROTEIN IN ARABIDOPSIS THALIANA C
AT5G54680	AT5G54680:ILR3	bHLH105:basic Helix-Loop-Helix 105;ILR3:iaa-leucine resistant3
AT5G54690	AT5G54690:GAUT12	GAUT12:galacturonosyltransferase 12;IRX8:IRREGULAR XYLEM 8;LGT6
AT5G54700	AT5G54700	NA
AT5G54710	AT5G54710	NA
AT5G54720	AT5G54720	NA
AT5G54730	AT5G54730:ATG18F	ATATG18F:ARABIDOPSIS THALIANA HOMOLOG OF YEAST AUTOPHAGY 18 (ATG18) F;ATG18F:homolog of yeast autophagy 18 (ATG18) F;G18F:homolog of yeast autophagy 18 (ATG18) F
AT5G54740	AT5G54740:SESA5	SESA5:seed storage albumin 5
AT5G54745	AT5G54745:DEGP15	DEG16:degradation of periplasmic proteins 16
AT5G54750	AT5G54750	NA
AT5G54760	AT5G54760	NA
AT5G54770	AT5G54770:THI1	THI1;THI4:THIAMINE4;TZ:THIAZOLE REQUIRING
AT5G54780	AT5G54780	NA
AT5G54790	AT5G54790	NA
AT5G54800	AT5G54800:GPT1	ATGPT1:ARABIDOPSIS GLUCOSE 6-PHOSPHATE/PHOSPHATE TRANSLOCATOR 1;GPT1:glucose 6-phosphate/phosphate translocator 1
AT5G54810	AT5G54810:TSB1	ATTSB1;TRP2:TRYPTOPHAN BIOSYNTHESIS 2;TRPB:TRYPTOPHAN BIOSYNTHESIS B;TSB1:tryptophan synthase beta-subunit 1
AT5G54820	AT5G54820	NA
AT5G54830	AT5G54830	NA
AT5G54840	AT5G54840:ATSGP1	ATSGP1;SGP1
AT5G54850	AT5G54850	NA
AT5G54855	AT5G54855	NA
AT5G54860	AT5G54860	NA
AT5G54870	AT5G54870	NA
AT5G54880	AT5G54880	NA
AT5G54890	AT5G54890	mCSF2:mitochondrial CAF-like splicing factor 2
AT5G54900	AT5G54900:RBP45A	ATRBP45A:RNA-binding protein 45A;RBP45A:RNA-binding protein 45A
AT5G54910	AT5G54910:RH32	NA
AT5G54920	AT5G54920	NA
AT5G54930	AT5G54930	NA
AT5G54940	AT5G54940	NA
AT5G54950	AT5G54950	NA
AT5G54960	AT5G54960:PDC2	PDC2:pyruvate decarboxylase-2
AT5G54970	AT5G54970	NA
AT5G54980	AT5G54980	NA
AT5G54990	AT5G54990	NA
AT5G55000	AT5G55000:FIP2	FIP2
AT5G55010	AT5G55010	NA
AT5G55020	AT5G55020:ATMYB120	ATMYB120;MYB120:myb domain protein 120
AT5G55040	AT5G55040	NA
AT5G55050	AT5G55050	NA
AT5G55056	AT5G55056	NA
AT5G55060	AT5G55060	NA
AT5G55070	AT5G55070	NA
AT5G55080	AT5G55080:RAN4	AtRAN4:ras-related nuclear protein 4;RAN4:ras-related nuclear protein 4
AT5G55090	AT5G55090:MAPKKK15	MAPKKK15:mitogen-activated protein kinase kinase kinase 15
AT5G55100	AT5G55100	NA
AT5G55110	AT5G55110	NA
AT5G55120	AT5G55120:VTC5	VTC5:VITAMIN C DEFECTIVE 5
AT5G55125	AT5G55125	NA
AT5G55130	AT5G55130:MOCS3	"CNX5:""co-factor for nitrate, reductase and xanthine dehydrogenase 5"";SIR1:SIRTINOL RESISTANT 1"
AT5G55131	AT5G55131	NA
AT5G55132	AT5G55132	NA
AT5G55135	AT5G55135	NA
AT5G55140	AT5G55140	NA
AT5G55150	AT5G55150	NA
